city,year,weekofyear,total_cases
sj,2008,18,5
sj,2008,19,8
sj,2008,20,14
sj,2008,21,15
sj,2008,22,15
sj,2008,23,18
sj,2008,24,15
sj,2008,25,19
sj,2008,26,18
sj,2008,27,24
sj,2008,28,22
sj,2008,29,21
sj,2008,30,20
sj,2008,31,20
sj,2008,32,20
sj,2008,33,47
sj,2008,34,54
sj,2008,35,54
sj,2008,36,58
sj,2008,37,58
sj,2008,38,60
sj,2008,39,54
sj,2008,40,51
sj,2008,41,63
sj,2008,42,54
sj,2008,43,58
sj,2008,44,58
sj,2008,45,58
sj,2008,46,62
sj,2008,47,63
sj,2008,48,54
sj,2008,49,47
sj,2008,50,48
sj,2008,51,41
sj,2008,52,31
sj,2009,1,34
sj,2009,2,20
sj,2009,3,31
sj,2009,4,24
sj,2009,5,24
sj,2009,6,28
sj,2009,7,19
sj,2009,8,23
sj,2009,9,20
sj,2009,10,15
sj,2009,11,19
sj,2009,12,24
sj,2009,13,21
sj,2009,14,21
sj,2009,15,19
sj,2009,16,15
sj,2009,17,20
sj,2009,18,20
sj,2009,19,23
sj,2009,20,22
sj,2009,21,29
sj,2009,22,30
sj,2009,23,31
sj,2009,24,28
sj,2009,25,35
sj,2009,26,42
sj,2009,27,37
sj,2009,28,38
sj,2009,29,21
sj,2009,30,17
sj,2009,31,12
sj,2009,32,14
sj,2009,33,16
sj,2009,34,20
sj,2009,35,26
sj,2009,36,29
sj,2009,37,23
sj,2009,38,28
sj,2009,39,26
sj,2009,40,30
sj,2009,41,32
sj,2009,42,28
sj,2009,43,22
sj,2009,44,31
sj,2009,45,28
sj,2009,46,22
sj,2009,47,28
sj,2009,48,29
sj,2009,49,28
sj,2009,50,25
sj,2009,51,29
sj,2009,52,25
sj,2010,53,33
sj,2010,1,28
sj,2010,2,33
sj,2010,3,26
sj,2010,4,31
sj,2010,5,33
sj,2010,6,26
sj,2010,7,23
sj,2010,8,21
sj,2010,9,26
sj,2010,10,14
sj,2010,11,18
sj,2010,12,21
sj,2010,13,22
sj,2010,14,24
sj,2010,15,25
sj,2010,16,21
sj,2010,17,24
sj,2010,18,28
sj,2010,19,25
sj,2010,20,25
sj,2010,21,25
sj,2010,22,40
sj,2010,23,34
sj,2010,24,28
sj,2010,25,27
sj,2010,26,34
sj,2010,27,38
sj,2010,28,45
sj,2010,29,32
sj,2010,30,32
sj,2010,31,27
sj,2010,32,28
sj,2010,33,29
sj,2010,34,35
sj,2010,35,34
sj,2010,36,36
sj,2010,37,41
sj,2010,38,38
sj,2010,39,31
sj,2010,40,41
sj,2010,41,46
sj,2010,42,17
sj,2010,43,25
sj,2010,44,19
sj,2010,45,22
sj,2010,46,23
sj,2010,47,26
sj,2010,48,23
sj,2010,49,23
sj,2010,50,19
sj,2010,51,23
sj,2011,52,20
sj,2011,1,12
sj,2011,2,20
sj,2011,3,18
sj,2011,4,18
sj,2011,5,14
sj,2011,6,17
sj,2011,7,21
sj,2011,8,12
sj,2011,9,15
sj,2011,10,10
sj,2011,11,14
sj,2011,12,7
sj,2011,13,4
sj,2011,14,4
sj,2011,15,3
sj,2011,16,8
sj,2011,17,11
sj,2011,18,8
sj,2011,19,10
sj,2011,20,6
sj,2011,21,8
sj,2011,22,10
sj,2011,23,8
sj,2011,24,10
sj,2011,25,14
sj,2011,26,10
sj,2011,27,11
sj,2011,28,12
sj,2011,29,10
sj,2011,30,17
sj,2011,31,12
sj,2011,32,13
sj,2011,33,11
sj,2011,34,12
sj,2011,35,9
sj,2011,36,15
sj,2011,37,14
sj,2011,38,14
sj,2011,39,10
sj,2011,40,18
sj,2011,41,19
sj,2011,42,16
sj,2011,43,14
sj,2011,44,21
sj,2011,45,18
sj,2011,46,16
sj,2011,47,24
sj,2011,48,18
sj,2011,49,15
sj,2011,50,19
sj,2011,51,15
sj,2012,52,14
sj,2012,1,29
sj,2012,2,22
sj,2012,3,16
sj,2012,4,13
sj,2012,5,11
sj,2012,6,12
sj,2012,7,12
sj,2012,8,8
sj,2012,9,9
sj,2012,10,8
sj,2012,11,7
sj,2012,12,6
sj,2012,13,5
sj,2012,14,5
sj,2012,15,5
sj,2012,16,3
sj,2012,17,1
sj,2012,18,4
sj,2012,19,4
sj,2012,20,9
sj,2012,21,4
sj,2012,22,5
sj,2012,23,14
sj,2012,24,9
sj,2012,25,15
sj,2012,26,13
sj,2012,27,13
sj,2012,28,8
sj,2012,29,9
sj,2012,30,8
sj,2012,31,9
sj,2012,32,12
sj,2012,33,11
sj,2012,34,12
sj,2012,35,15
sj,2012,36,13
sj,2012,37,19
sj,2012,38,24
sj,2012,39,23
sj,2012,40,36
sj,2012,41,14
sj,2012,42,20
sj,2012,43,23
sj,2012,44,25
sj,2012,45,23
sj,2012,46,24
sj,2012,47,17
sj,2012,48,23
sj,2012,49,23
sj,2012,50,15
sj,2012,51,15
sj,2013,1,19
sj,2013,2,30
sj,2013,3,18
sj,2013,4,18
sj,2013,5,21
sj,2013,6,19
sj,2013,7,16
sj,2013,8,14
sj,2013,9,12
sj,2013,10,2
sj,2013,11,2
sj,2013,12,4
sj,2013,13,8
sj,2013,14,3
sj,2013,15,4
sj,2013,16,4
sj,2013,17,1
iq,2010,26,23
iq,2010,27,23
iq,2010,28,25
iq,2010,29,24
iq,2010,30,27
iq,2010,31,21
iq,2010,32,14
iq,2010,33,24
iq,2010,34,22
iq,2010,35,26
iq,2010,36,30
iq,2010,37,33
iq,2010,38,37
iq,2010,39,32
iq,2010,40,40
iq,2010,41,30
iq,2010,42,14
iq,2010,43,14
iq,2010,44,13
iq,2010,45,17
iq,2010,46,11
iq,2010,47,8
iq,2010,48,7
iq,2010,49,10
iq,2010,50,9
iq,2010,51,14
iq,2011,52,8
iq,2011,1,8
iq,2011,2,5
iq,2011,3,2
iq,2011,4,6
iq,2011,5,3
iq,2011,6,3
iq,2011,7,6
iq,2011,8,6
iq,2011,9,7
iq,2011,10,4
iq,2011,11,1
iq,2011,12,4
iq,2011,13,6
iq,2011,14,4
iq,2011,15,2
iq,2011,16,4
iq,2011,17,4
iq,2011,18,10
iq,2011,19,4
iq,2011,20,7
iq,2011,21,5
iq,2011,22,5
iq,2011,23,4
iq,2011,24,5
iq,2011,25,3
iq,2011,26,4
iq,2011,27,5
iq,2011,28,4
iq,2011,29,5
iq,2011,30,4
iq,2011,31,3
iq,2011,32,4
iq,2011,33,3
iq,2011,34,3
iq,2011,35,3
iq,2011,36,2
iq,2011,37,2
iq,2011,38,12
iq,2011,39,7
iq,2011,40,5
iq,2011,41,6
iq,2011,42,8
iq,2011,43,13
iq,2011,44,6
iq,2011,45,11
iq,2011,46,14
iq,2011,47,7
iq,2011,48,6
iq,2011,49,12
iq,2011,50,11
iq,2011,51,12
iq,2012,52,6
iq,2012,1,9
iq,2012,2,12
iq,2012,3,10
iq,2012,4,6
iq,2012,5,8
iq,2012,6,12
iq,2012,7,12
iq,2012,8,11
iq,2012,9,8
iq,2012,10,3
iq,2012,11,5
iq,2012,12,6
iq,2012,13,7
iq,2012,14,8
iq,2012,15,6
iq,2012,16,4
iq,2012,17,6
iq,2012,18,3
iq,2012,19,3
iq,2012,20,5
iq,2012,21,3
iq,2012,22,5
iq,2012,23,3
iq,2012,24,3
iq,2012,25,3
iq,2012,26,7
iq,2012,27,4
iq,2012,28,3
iq,2012,29,11
iq,2012,30,7
iq,2012,31,3
iq,2012,32,2
iq,2012,33,4
iq,2012,34,14
iq,2012,35,3
iq,2012,36,4
iq,2012,37,7
iq,2012,38,4
iq,2012,39,7
iq,2012,40,14
iq,2012,41,9
iq,2012,42,12
iq,2012,43,15
iq,2012,44,7
iq,2012,45,8
iq,2012,46,12
iq,2012,47,14
iq,2012,48,2
iq,2012,49,5
iq,2012,50,8
iq,2012,51,8
iq,2013,1,15
iq,2013,2,12
iq,2013,3,11
iq,2013,4,23
iq,2013,5,21
iq,2013,6,27
iq,2013,7,26
iq,2013,8,12
iq,2013,9,16
iq,2013,10,6
iq,2013,11,8
iq,2013,12,3
iq,2013,13,8
iq,2013,14,9
iq,2013,15,2
iq,2013,16,5
iq,2013,17,1
iq,2013,18,5
iq,2013,19,3
iq,2013,20,3
iq,2013,21,3
iq,2013,22,5
iq,2013,23,0
iq,2013,24,0
iq,2013,25,5
iq,2013,26,2
