city,year,weekofyear,total_cases
sj,2008,18,16
sj,2008,19,23
sj,2008,20,15
sj,2008,21,19
sj,2008,22,19
sj,2008,23,29
sj,2008,24,16
sj,2008,25,33
sj,2008,26,34
sj,2008,27,34
sj,2008,28,32
sj,2008,29,39
sj,2008,30,15
sj,2008,31,37
sj,2008,32,30
sj,2008,33,34
sj,2008,34,21
sj,2008,35,32
sj,2008,36,28
sj,2008,37,28
sj,2008,38,36
sj,2008,39,18
sj,2008,40,31
sj,2008,41,37
sj,2008,42,22
sj,2008,43,31
sj,2008,44,43
sj,2008,45,31
sj,2008,46,34
sj,2008,47,21
sj,2008,48,24
sj,2008,49,25
sj,2008,50,21
sj,2008,51,16
sj,2008,52,24
sj,2009,1,14
sj,2009,2,21
sj,2009,3,26
sj,2009,4,21
sj,2009,5,20
sj,2009,6,23
sj,2009,7,17
sj,2009,8,21
sj,2009,9,18
sj,2009,10,16
sj,2009,11,24
sj,2009,12,19
sj,2009,13,25
sj,2009,14,23
sj,2009,15,18
sj,2009,16,24
sj,2009,17,22
sj,2009,18,22
sj,2009,19,21
sj,2009,20,16
sj,2009,21,19
sj,2009,22,16
sj,2009,23,23
sj,2009,24,18
sj,2009,25,17
sj,2009,26,25
sj,2009,27,32
sj,2009,28,21
sj,2009,29,23
sj,2009,30,27
sj,2009,31,20
sj,2009,32,30
sj,2009,33,23
sj,2009,34,34
sj,2009,35,30
sj,2009,36,21
sj,2009,37,25
sj,2009,38,22
sj,2009,39,28
sj,2009,40,27
sj,2009,41,27
sj,2009,42,28
sj,2009,43,19
sj,2009,44,30
sj,2009,45,39
sj,2009,46,17
sj,2009,47,25
sj,2009,48,23
sj,2009,49,34
sj,2009,50,32
sj,2009,51,38
sj,2009,52,28
sj,2010,53,22
sj,2010,1,26
sj,2010,2,25
sj,2010,3,19
sj,2010,4,23
sj,2010,5,24
sj,2010,6,18
sj,2010,7,25
sj,2010,8,17
sj,2010,9,9
sj,2010,10,21
sj,2010,11,18
sj,2010,12,11
sj,2010,13,10
sj,2010,14,16
sj,2010,15,25
sj,2010,16,15
sj,2010,17,14
sj,2010,18,10
sj,2010,19,7
sj,2010,20,14
sj,2010,21,11
sj,2010,22,23
sj,2010,23,13
sj,2010,24,22
sj,2010,25,18
sj,2010,26,18
sj,2010,27,25
sj,2010,28,26
sj,2010,29,23
sj,2010,30,21
sj,2010,31,21
sj,2010,32,20
sj,2010,33,22
sj,2010,34,33
sj,2010,35,27
sj,2010,36,21
sj,2010,37,30
sj,2010,38,28
sj,2010,39,21
sj,2010,40,26
sj,2010,41,32
sj,2010,42,22
sj,2010,43,12
sj,2010,44,27
