city,year,weekofyear,total_cases
sj,2008,18,14
sj,2008,19,14
sj,2008,20,17
sj,2008,21,18
sj,2008,22,19
sj,2008,23,22
sj,2008,24,21
sj,2008,25,25
sj,2008,26,29
sj,2008,27,28
sj,2008,28,28
sj,2008,29,29
sj,2008,30,28
sj,2008,31,31
sj,2008,32,24
sj,2008,33,37
sj,2008,34,33
sj,2008,35,34
sj,2008,36,39
sj,2008,37,38
sj,2008,38,35
sj,2008,39,41
sj,2008,40,37
sj,2008,41,42
sj,2008,42,42
sj,2008,43,45
sj,2008,44,44
sj,2008,45,43
sj,2008,46,43
sj,2008,47,42
sj,2008,48,41
sj,2008,49,42
sj,2008,50,37
sj,2008,51,36
sj,2008,52,30
sj,2009,1,26
sj,2009,2,31
sj,2009,3,33
sj,2009,4,32
sj,2009,5,30
sj,2009,6,28
sj,2009,7,20
sj,2009,8,19
sj,2009,9,19
sj,2009,10,21
sj,2009,11,20
sj,2009,12,18
sj,2009,13,18
sj,2009,14,19
sj,2009,15,17
sj,2009,16,18
sj,2009,17,19
sj,2009,18,16
sj,2009,19,19
sj,2009,20,21
sj,2009,21,22
sj,2009,22,20
sj,2009,23,23
sj,2009,24,24
sj,2009,25,29
sj,2009,26,33
sj,2009,27,28
sj,2009,28,30
sj,2009,29,32
sj,2009,30,26
sj,2009,31,18
sj,2009,32,19
sj,2009,33,22
sj,2009,34,23
sj,2009,35,22
sj,2009,36,30
sj,2009,37,27
sj,2009,38,31
sj,2009,39,28
sj,2009,40,33
sj,2009,41,31
sj,2009,42,28
sj,2009,43,27
sj,2009,44,32
sj,2009,45,28
sj,2009,46,30
sj,2009,47,34
sj,2009,48,29
sj,2009,49,28
sj,2009,50,28
sj,2009,51,27
sj,2009,52,31
sj,2010,53,29
sj,2010,1,35
sj,2010,2,34
sj,2010,3,32
sj,2010,4,32
sj,2010,5,33
sj,2010,6,32
sj,2010,7,21
sj,2010,8,22
sj,2010,9,18
sj,2010,10,18
sj,2010,11,20
sj,2010,12,20
sj,2010,13,19
sj,2010,14,21
sj,2010,15,22
sj,2010,16,20
sj,2010,17,23
sj,2010,18,24
sj,2010,19,22
sj,2010,20,21
sj,2010,21,24
sj,2010,22,34
sj,2010,23,34
sj,2010,24,27
sj,2010,25,22
sj,2010,26,25
sj,2010,27,30
sj,2010,28,37
sj,2010,29,25
sj,2010,30,26
sj,2010,31,24
sj,2010,32,34
sj,2010,33,31
sj,2010,34,34
sj,2010,35,35
sj,2010,36,37
sj,2010,37,36
sj,2010,38,40
sj,2010,39,35
sj,2010,40,39
sj,2010,41,41
sj,2010,42,22
sj,2010,43,28
sj,2010,44,24
sj,2010,45,26
sj,2010,46,25
sj,2010,47,23
sj,2010,48,24
sj,2010,49,23
sj,2010,50,21
sj,2010,51,23
sj,2011,52,19
sj,2011,1,16
sj,2011,2,16
sj,2011,3,20
sj,2011,4,17
sj,2011,5,16
sj,2011,6,14
sj,2011,7,14
sj,2011,8,12
sj,2011,9,9
sj,2011,10,6
sj,2011,11,6
sj,2011,12,5
sj,2011,13,5
sj,2011,14,5
sj,2011,15,5
sj,2011,16,6
sj,2011,17,4
sj,2011,18,6
sj,2011,19,6
sj,2011,20,5
sj,2011,21,7
sj,2011,22,10
sj,2011,23,8
sj,2011,24,13
sj,2011,25,16
sj,2011,26,13
sj,2011,27,10
